jenisKelamin;umur;beratBadan;tinggiBadan
Male;13;9.0;76.0
Female;12;7.1;65.0
Male;16;8.0;73.5
Female;33;7.7;63.0
Male;8;8.4;63.0
Female;9;6.4;65.0
Female;9;10.5;65.0
Female;11;7.0;63.0
Male;12;9.0;68.3
Male;15;8.5;68.3
Male;12;10.0;63.0
Female;13;9.0;71.0
Female;15;7.1;65.0
Female;6;6.4;63.0
Male;15;8.0;49.0
Male;10;10.5;80.0
Male;16;10.5;72.2
Male;14;7.7;68.3
Female;16;6.4;72.2
Female;19;2.9;76.0
Male;17;6.4;69.0
Female;10;8.4;68.3
Male;13;6.4;63.0
Female;28;7.7;92.7
Female;10;10.5;72.2
Male;13;8.4;69.0
Female;12;9.0;63.0
Male;17;9.0;76.0
Male;14;7.7;69.0
Female;48;6.2;73.5
Male;14;7.2;71.0
Female;10;7.2;63.0
Male;11;6.4;68.3
Female;16;7.0;71.0
Female;10;6.4;71.0
Female;15;7.1;73.5
Male;14;8.0;65.0
Male;18;9.0;72.2
Male;24;9.0;63.0
Female;48;7.1;63.0
Male;13;6.4;68.3
Male;8;9.0;68.3
Female;12;7.1;49.0
Male;48;7.1;80.0
Male;17;7.0;68.3
Female;11;10.5;68.3
Female;33;7.7;73.5
Male;11;6.4;73.5
Male;11;6.2;92.7
Female;14;10.0;73.5
Male;10;6.2;65.0
Female;8;10.5;63.0
Male;18;6.4;76.0
Female;10;7.7;65.0
Female;13;10.5;63.0
Female;11;7.1;80.0
Male;10;6.2;63.0
Female;36;8.0;69.0
Female;9;8.0;63.0
Female;17;7.1;63.0
Female;16;7.7;72.2
Female;11;10.0;65.0
Male;6;7.2;69.0
Male;17;6.2;72.2
Female;18;7.0;63.0
Male;13;8.0;73.5
Male;10;9.0;69.0
Female;8;8.4;72.2
Male;16;2.9;72.2
Female;11;7.0;92.7
Male;11;10.0;72.2
Male;14;7.1;92.7
Female;9;10.0;80.0
Female;17;10.5;49.0
Male;15;9.0;49.0
Male;15;10.5;73.5
Male;7;8.4;65.0
Male;11;8.0;49.0
Female;7;10.0;65.0
Male;12;2.9;73.5
Female;32;10.5;80.0
Female;12;10.0;65.0
Female;20;10.0;49.0
Male;8;7.0;49.0
Female;16;9.0;69.0
Female;7;8.5;71.0
Male;25;7.2;65.0
Female;17;10.5;72.2
Female;12;8.4;65.0
Male;14;10.5;72.2
Male;18;9.0;69.0
Male;9;10.5;80.0
Male;16;7.2;73.5
Male;12;8.0;63.0
Male;12;8.5;69.0
Female;12;10.0;72.2
Female;43;10.0;73.5
Male;6;2.9;63.0
Female;48;8.4;63.0
Female;13;6.2;72.2
Male;9;8.5;49.0
Male;14;6.4;69.0
Female;11;10.0;71.0
Male;13;2.9;69.0
Male;12;7.0;49.0
Male;17;8.5;68.3
Female;48;7.2;72.2
Female;22;8.0;63.0
Male;9;9.0;69.0
Male;14;8.4;49.0
Female;12;7.7;65.0
Male;11;9.0;49.0
Female;14;7.2;76.0
Female;16;8.0;72.2
Female;34;7.2;72.2
Male;16;7.1;63.0
Male;13;6.4;71.0
Female;44;10.5;63.0
Male;10;10.0;49.0
Male;12;7.1;72.2
Female;48;9.0;65.0
Male;11;2.9;63.0
Male;12;6.2;49.0
Male;19;7.2;63.0
Male;11;7.7;92.7
Male;19;10.5;63.0
Male;13;8.0;80.0
Male;6;6.4;69.0
Male;13;9.0;69.0
Female;17;10.5;63.0
Male;13;9.0;68.3
Male;6;9.0;63.0
Male;11;7.2;63.0
Male;13;9.0;49.0
Male;15;6.4;68.3
Female;37;7.2;63.0
Female;12;10.5;72.2
Female;11;8.5;69.0
Female;15;7.0;65.0
Male;14;7.1;69.0
Male;10;10.0;69.0
Male;14;6.2;68.3
Male;11;7.0;63.0
Male;8;8.4;65.0
Female;43;7.2;73.5
Male;14;10.5;73.5
Male;8;2.9;69.0
Female;11;10.5;69.0
Female;12;8.5;65.0
Male;15;8.4;49.0
Female;17;9.0;71.0
Female;43;7.1;73.5
Male;14;6.4;68.3
Female;6;8.5;65.0
Male;13;8.0;68.3
Male;13;6.4;49.0
Female;14;7.0;63.0
Male;15;9.0;73.5
Male;12;10.5;72.2
Male;13;9.0;65.0
Female;14;9.0;80.0
Male;14;8.4;80.0
Male;11;8.4;72.2
Female;11;2.9;63.0
Male;13;10.5;71.0
Male;15;9.0;71.0
Male;15;10.0;71.0
Female;45;7.1;65.0
Male;20;9.0;71.0
Male;38;7.7;65.0
Male;20;9.0;73.5
Female;21;7.7;92.7
Male;16;9.0;69.0
Female;37;10.5;65.0
Male;34;9.0;69.0
Female;8;7.1;80.0
Male;11;6.4;69.0
Male;29;9.0;69.0
Male;13;7.0;69.0
Male;13;6.4;69.0
Male;16;8.4;63.0
Male;9;7.0;68.3
Male;11;8.0;65.0
Male;12;10.5;69.0
Male;14;9.0;80.0
Male;6;6.4;68.3
Female;11;6.4;68.3
Male;20;6.4;63.0
Male;16;7.7;49.0
Female;10;8.5;73.5
Male;15;2.9;73.5
Male;11;6.4;76.0
Male;9;7.1;49.0
Female;7;8.0;72.2
Male;9;8.4;72.2
Male;15;6.2;69.0
Female;36;10.5;65.0
Male;9;10.5;68.3
Male;10;10.5;69.0
Female;18;6.2;71.0
Female;13;8.0;72.2
Male;10;2.9;49.0
Male;43;7.1;72.2
Male;14;6.4;68.3
Female;7;6.4;65.0
Male;18;10.5;72.2
Male;12;7.1;65.0
Male;14;6.4;65.0
Female;14;10.5;76.0
Male;13;6.2;63.0
Female;6;7.1;65.0
Male;8;10.5;73.5
Male;12;9.0;65.0
Male;11;2.9;49.0
Female;10;7.1;76.0
Male;12;10.0;65.0
Male;10;9.0;80.0
Female;8;7.7;76.0
Male;14;2.9;49.0
Male;13;7.1;49.0
Male;9;2.9;49.0
Male;16;9.0;76.0
Male;17;10.0;49.0
Male;11;6.4;73.5
Male;15;6.4;63.0
Female;48;10.5;63.0
Male;15;7.2;65.0
Male;10;2.9;63.0
Male;11;8.5;65.0
Male;18;8.4;72.2
Male;9;6.2;49.0
Male;14;6.2;72.2
Male;17;8.4;69.0
Male;12;9.0;69.0
Male;14;7.1;73.5
Female;39;8.0;92.7
Male;21;10.5;72.2
Male;48;7.2;68.3
Male;10;6.2;65.0
Female;15;9.0;71.0
Female;13;6.4;73.5
Male;10;9.0;80.0
Male;13;9.0;80.0
Male;19;8.0;69.0
Female;18;9.0;65.0
Female;46;7.2;92.7
Female;48;10.0;63.0
Female;23;7.2;63.0
Male;11;8.4;76.0
Female;9;7.2;68.3
Male;18;9.0;49.0
Male;12;8.5;68.3
Male;11;7.7;76.0
Male;11;7.2;65.0
Male;10;6.4;69.0
Female;10;7.7;73.5
Male;11;7.1;80.0
Male;15;9.0;80.0
Male;7;6.4;92.7
Male;6;9.0;68.3
Female;15;7.1;80.0
Female;34;10.5;92.7
Male;8;8.0;63.0
Male;12;6.2;63.0
Female;27;7.1;72.2
Male;16;10.0;65.0
Male;16;9.0;65.0
Male;11;9.0;73.5
Female;45;7.1;80.0
Male;6;7.7;72.2
Male;12;8.0;71.0
Female;48;10.5;65.0
Male;13;7.2;76.0
Male;20;7.0;72.2
Male;19;9.0;69.0
Female;11;2.9;71.0
Female;7;10.0;72.2
Male;6;6.4;65.0
Male;10;7.7;92.7
Male;6;7.1;69.0
Male;12;6.2;65.0
Male;14;10.5;73.5
Male;13;6.4;65.0
Female;11;10.5;71.0
Male;14;8.5;71.0
Female;15;7.7;65.0
Female;15;6.4;63.0
Male;13;6.4;69.0
Male;16;8.4;69.0
Female;12;2.9;92.7
Female;15;10.0;92.7
Male;10;6.2;76.0
Female;10;8.5;80.0
Male;10;7.2;69.0
Male;15;10.0;68.3
Female;10;7.7;92.7
Female;48;10.0;73.5
Male;11;9.0;68.3
Female;14;10.5;63.0
Male;11;6.4;71.0
Male;20;10.0;69.0
Male;16;8.0;63.0
Male;6;6.2;65.0
Female;11;6.4;65.0
Male;15;9.0;73.5
Male;16;7.7;69.0
Female;13;7.7;73.5
Male;17;2.9;69.0
Male;16;9.0;69.0
Male;37;10.0;68.3
Male;20;10.5;49.0
Female;44;9.0;65.0
Female;10;10.5;72.2
Male;16;7.0;65.0
Male;10;8.5;69.0
Female;13;10.5;65.0
Male;15;8.4;72.2
Female;13;7.2;72.2
Male;14;9.0;65.0
Male;14;7.0;69.0
Male;7;9.0;69.0
Male;11;2.9;71.0
Male;12;6.4;76.0
Female;10;6.2;72.2
Male;10;6.2;63.0
Female;7;2.9;63.0
Male;21;9.0;69.0
Female;16;8.4;49.0
Male;10;2.9;80.0
Female;11;8.4;72.2
Female;19;7.1;72.2
Female;16;6.2;71.0
Male;16;9.0;69.0
Female;16;2.9;63.0
Female;13;9.0;72.2
Female;12;6.4;72.2
Female;8;7.1;65.0
Female;8;6.4;65.0
Female;28;10.5;80.0
Male;13;8.4;68.3
Male;11;7.7;72.2
Female;9;8.4;72.2
Male;11;6.2;80.0
Female;14;8.0;92.7
Female;48;7.1;63.0
Male;8;6.2;69.0
Female;8;7.7;65.0
Female;8;7.2;65.0
Male;12;9.0;69.0
Male;16;6.2;92.7
Male;9;6.4;73.5
Male;15;8.0;73.5
Male;8;8.4;63.0
Female;10;7.7;65.0
Male;19;9.0;72.2
Male;13;7.7;49.0
Female;16;7.7;65.0
Female;18;2.9;63.0
Female;9;7.1;65.0
Female;9;9.0;69.0
Male;19;10.0;65.0
Male;17;2.9;72.2
Female;10;10.0;73.5
Male;14;10.0;68.3
Female;11;9.0;65.0
Male;13;9.0;49.0
Female;9;7.0;65.0
Female;12;9.0;72.2
Male;17;2.9;63.0
Male;16;9.0;49.0
Male;16;10.0;72.2
Female;9;7.7;72.2
Male;8;9.0;65.0
Female;8;7.7;65.0
Male;10;8.5;92.7
Male;17;8.0;63.0
Male;9;10.0;65.0
Male;13;10.0;68.3
Male;15;10.0;63.0
Female;11;8.0;65.0
Female;12;7.7;65.0
Male;10;6.2;63.0
Male;10;6.2;73.5
Male;37;7.2;69.0
Male;13;10.5;68.3
Male;15;6.4;80.0
Male;12;6.4;65.0
Female;13;7.7;71.0
Male;11;10.0;71.0
Female;9;7.7;63.0
Male;11;8.4;49.0
Male;11;10.5;71.0
Male;18;8.0;80.0
Female;15;7.1;72.2
Male;13;2.9;68.3
Male;12;8.4;80.0
Female;12;7.0;68.3
Male;17;7.0;69.0
Male;20;9.0;71.0
Female;10;8.0;73.5
Female;9;6.2;63.0
Female;12;7.2;92.7
Female;42;10.0;49.0
Male;12;9.0;80.0
Male;14;2.9;92.7
Female;17;8.4;92.7
Male;11;7.2;49.0
Female;31;10.0;63.0
Female;16;7.1;76.0
Male;11;8.0;69.0
Male;11;7.2;69.0
Female;28;7.2;65.0
Male;8;2.9;68.3
Male;8;10.0;68.3
Male;20;7.0;71.0
Female;12;8.0;63.0
Male;12;6.4;68.3
Male;13;6.4;68.3
Male;12;2.9;63.0
Male;17;8.0;49.0
Female;10;6.2;92.7
Male;10;6.4;49.0
Female;10;7.7;72.2
Female;41;7.1;63.0
Male;14;6.2;71.0
Male;11;10.0;65.0
Male;15;10.5;76.0
Female;40;9.0;69.0
Male;13;10.5;71.0
Male;7;6.4;80.0
Male;6;9.0;69.0
Male;10;7.1;92.7
Female;40;8.5;63.0
Female;16;7.2;73.5
Male;12;2.9;65.0
Female;10;6.4;65.0
Male;14;7.7;71.0
Male;13;10.0;69.0
Male;21;6.4;69.0
Female;6;7.2;80.0
Male;16;10.0;71.0
Male;11;10.0;65.0
Female;8;7.7;73.5
Male;8;6.4;68.3
Female;46;7.7;72.2
Male;11;6.4;92.7
Male;14;10.5;65.0
Male;7;7.1;69.0
Female;12;8.5;73.5
Male;6;9.0;69.0
Male;16;6.4;72.2
Male;15;9.0;63.0
Female;15;2.9;68.3
Female;14;7.7;65.0
Female;6;6.4;68.3
Male;15;2.9;49.0
Male;13;7.7;92.7
Female;6;6.4;71.0
Male;43;9.0;80.0
Male;11;6.2;63.0
Male;9;8.4;68.3
Female;14;8.4;73.5
Female;12;7.2;65.0
Male;9;9.0;63.0
Female;12;8.4;80.0
Male;12;10.0;71.0
Male;18;8.4;65.0
Male;9;6.2;68.3
Male;10;2.9;65.0
Male;12;2.9;80.0
Male;11;6.2;49.0
Male;14;2.9;71.0
Male;10;8.0;65.0
Female;13;8.4;49.0
Female;34;7.7;72.2
Female;12;10.0;72.2
Female;12;7.0;80.0
Male;15;2.9;69.0
Male;6;9.0;65.0
Female;48;7.2;49.0
Male;14;10.0;71.0
Male;16;6.4;65.0
Female;17;8.4;65.0
Male;15;9.0;80.0
Female;16;7.1;71.0
Male;14;9.0;72.2
Male;13;6.4;68.3
Female;12;8.0;49.0
Male;13;7.2;63.0
Male;8;6.4;49.0
Male;13;9.0;71.0
Female;11;8.4;49.0
Female;41;7.1;73.5
Male;9;7.1;65.0
Male;17;9.0;63.0
Male;37;6.4;69.0
Male;15;9.0;71.0
Male;17;6.4;65.0
Female;9;10.5;92.7
Male;12;6.2;72.2
Female;29;7.1;92.7
Male;10;6.4;65.0
Male;16;8.4;63.0
Female;15;8.4;73.5
Male;11;9.0;68.3
Male;6;9.0;71.0
Male;21;8.5;68.3
Male;11;8.4;73.5
Male;13;6.4;68.3
Male;11;2.9;69.0
Female;14;9.0;65.0
Female;11;10.5;73.5
Male;16;6.4;68.3
Male;9;6.4;63.0
Female;15;8.0;69.0
Male;15;7.7;72.2
Female;16;8.5;65.0
Female;12;10.5;72.2
Male;12;8.5;69.0
Male;11;7.7;92.7
Male;11;2.9;68.3
Male;10;8.0;69.0
Male;10;10.0;63.0
Male;14;2.9;73.5
Female;13;6.4;65.0
Male;14;2.9;65.0
Male;13;9.0;69.0
Female;28;7.7;65.0
Male;48;9.0;80.0
Male;13;7.2;68.3
Female;13;8.0;65.0
Male;16;9.0;80.0
Male;14;7.1;63.0
Male;13;8.0;63.0
Female;8;6.2;72.2
Male;14;10.0;92.7
Female;8;6.2;92.7
Female;13;8.4;92.7
Female;7;7.0;73.5
Male;7;7.7;76.0
Male;16;7.0;49.0
Male;18;8.4;73.5
Female;6;7.0;80.0
Male;11;8.0;71.0
Female;11;10.5;69.0
Male;10;6.4;72.2
Male;13;10.0;69.0
Male;16;7.0;49.0
Male;15;6.2;69.0
Male;6;10.0;68.3
Male;16;7.1;72.2
Female;11;9.0;80.0
Male;14;9.0;71.0
Male;11;8.5;69.0
Female;11;7.7;69.0
Female;43;10.5;63.0
Male;19;10.5;63.0
Male;14;6.2;92.7
Female;10;2.9;80.0
Male;8;6.2;73.5
Male;14;6.4;68.3
Female;15;6.4;65.0
Female;17;8.4;72.2
Male;10;2.9;63.0
Male;7;9.0;68.3
Male;6;8.4;68.3
Male;14;6.2;63.0
Male;9;6.4;69.0
Female;11;7.7;80.0
Female;16;7.2;69.0
Female;15;7.2;72.2
Female;8;7.1;65.0
Female;13;8.4;65.0
Male;18;7.7;80.0
Male;14;10.0;63.0
Male;8;7.1;69.0
Male;6;10.0;73.5
Female;10;8.5;80.0
Male;33;6.4;73.5
Male;10;10.0;71.0
Male;41;7.1;65.0
Male;7;2.9;68.3
Male;16;9.0;71.0
Male;17;8.0;68.3
Female;44;8.4;69.0
Male;9;2.9;63.0
Female;15;7.7;92.7
Male;17;9.0;49.0
Female;6;7.2;68.3
Male;9;6.4;49.0
Male;13;6.4;73.5
Male;33;9.0;69.0
Male;13;9.0;80.0
Male;11;8.4;69.0
Female;8;7.7;73.5
Male;10;8.5;63.0
Male;14;9.0;69.0
Male;15;7.7;49.0
Female;7;7.1;65.0
Male;10;7.1;63.0
Male;8;8.4;49.0
Male;17;8.4;65.0
Male;15;8.4;69.0
Female;8;6.2;63.0
Male;8;10.0;49.0
Female;38;9.0;92.7
Female;12;7.2;49.0
Female;12;7.7;63.0
Female;17;7.2;73.5
Male;10;2.9;69.0
Male;12;7.7;49.0
Male;10;2.9;72.2
Female;10;8.4;92.7
Female;10;6.2;92.7
Female;9;8.5;72.2
Male;15;8.4;92.7
Male;8;7.0;68.3
Female;13;7.7;65.0
Male;10;6.2;68.3
Male;20;10.0;68.3
Female;16;8.5;69.0
Male;9;7.0;63.0
Male;8;8.5;69.0
Male;11;7.2;72.2
Male;12;6.4;69.0
Female;11;8.0;63.0
Male;15;10.0;65.0
Male;16;2.9;49.0
Male;13;9.0;63.0
Male;13;2.9;69.0
Male;6;7.1;76.0
Male;13;7.2;68.3
Male;12;7.2;68.3
Female;16;9.0;92.7
Male;11;6.4;63.0
Female;30;7.2;63.0
Male;12;7.2;65.0
Female;15;7.1;65.0
Male;16;7.2;65.0
Male;10;7.7;69.0
Male;14;10.0;73.5
Female;17;8.0;69.0
Female;10;10.5;49.0
Male;9;10.0;69.0
Female;16;10.5;72.2
Male;13;8.5;49.0
Female;8;7.7;76.0
Male;19;8.0;69.0
Female;11;7.2;63.0
Male;10;6.4;63.0
Male;11;7.7;65.0
Male;13;7.2;65.0
Female;14;7.0;63.0
Male;16;9.0;92.7
Male;11;9.0;63.0
Male;19;6.2;92.7
Male;10;8.4;65.0
Male;9;6.4;49.0
Male;12;7.7;68.3
Female;10;7.1;72.2
Female;13;6.4;72.2
Male;13;7.0;80.0
Female;11;7.7;49.0
Female;16;6.2;72.2
Male;17;8.5;49.0
Male;9;6.4;71.0
Female;9;10.0;65.0
Female;46;8.4;72.2
Male;14;6.4;69.0
Male;17;7.2;80.0
Male;13;7.7;65.0
Male;18;6.4;71.0
Female;39;10.5;92.7
Female;11;6.4;65.0
Male;10;6.4;63.0
Female;12;8.4;49.0
Female;15;6.4;68.3
Male;9;7.1;49.0
Female;13;10.0;65.0
Male;19;7.2;69.0
Female;10;8.4;65.0
Female;7;7.1;63.0
Male;13;8.0;80.0
Male;6;7.7;49.0
Male;13;6.4;80.0
Male;16;6.4;68.3
Male;14;6.2;80.0
Male;10;6.4;63.0
Female;8;8.4;49.0
Female;7;6.2;63.0
Male;9;6.4;68.3
Female;18;10.5;92.7
Male;12;8.4;69.0
Male;15;7.0;49.0
Male;13;7.0;92.7
Male;15;6.4;72.2
Male;11;6.4;63.0
Male;16;7.1;92.7
Male;12;8.5;73.5
Male;18;9.0;72.2
Female;7;7.7;72.2
Male;15;6.2;49.0
Male;6;6.4;68.3
Male;9;7.7;65.0
Male;16;7.0;71.0
Male;13;8.5;73.5
Female;12;6.2;71.0
Female;15;2.9;63.0
Male;6;8.5;69.0
Male;10;6.4;71.0
Male;12;9.0;63.0
Female;10;9.0;65.0
Female;6;6.4;68.3
Male;16;9.0;69.0
Male;18;9.0;69.0
Male;14;7.2;68.3
Female;15;9.0;49.0
Male;18;9.0;69.0
Male;11;7.2;65.0
Male;9;7.7;65.0
Male;13;7.1;65.0
Male;8;7.7;49.0
Female;14;7.7;65.0
Male;10;10.5;72.2
Female;16;8.4;65.0
Male;13;9.0;73.5
Male;11;8.0;68.3
Male;12;8.5;92.7
Female;11;8.5;92.7
Male;15;7.1;72.2
Male;16;8.5;80.0
Male;13;7.1;71.0
Male;13;2.9;80.0
Male;7;7.7;68.3
Male;11;9.0;68.3
Female;12;7.7;72.2
Female;14;7.7;65.0
Male;15;7.0;73.5
Male;16;10.0;49.0
Female;13;8.5;71.0
Female;13;9.0;76.0
Female;12;7.0;72.2
Male;10;9.0;69.0
Female;10;7.1;65.0
Female;9;8.5;65.0
Male;20;9.0;49.0
Male;17;9.0;68.3
Male;12;7.2;69.0
Male;15;9.0;65.0
Male;8;8.4;65.0
Male;14;10.0;65.0
Female;37;2.9;65.0
Male;8;7.2;63.0
Female;12;10.0;65.0
Male;15;9.0;63.0
Male;15;7.7;65.0
Male;11;7.0;72.2
Female;12;10.0;63.0
Male;12;9.0;49.0
Female;46;7.2;63.0
Female;13;2.9;69.0
Male;11;7.0;65.0
Male;48;8.0;92.7
Male;20;9.0;68.3
Male;12;10.0;63.0
Female;41;10.5;63.0
Male;8;8.4;72.2
Male;17;8.5;68.3
Female;16;10.0;65.0
Male;21;10.0;80.0
Female;8;6.2;69.0
Male;9;7.7;92.7
Male;13;8.4;49.0
Male;10;10.0;76.0
Female;9;6.2;65.0
Male;8;7.2;63.0
Female;20;10.0;73.5
Male;18;9.0;63.0
Male;14;6.2;49.0
Male;14;6.2;71.0
Female;17;8.5;72.2
Female;48;8.0;63.0
Female;12;6.2;73.5
Male;13;6.2;72.2
Female;12;7.1;76.0
Male;12;10.5;92.7
Male;19;6.4;63.0
Male;11;7.7;72.2
Female;14;8.0;65.0
Female;9;8.4;49.0
Male;21;8.0;72.2
Male;12;7.7;49.0
Female;48;9.0;65.0
Male;10;7.1;63.0
Female;46;9.0;80.0
Male;19;2.9;63.0
Male;14;7.7;68.3
Female;10;7.7;63.0
Male;13;9.0;69.0
Male;14;7.7;49.0
Male;9;6.4;69.0
Male;10;10.0;63.0
Male;8;2.9;69.0
Male;17;8.4;68.3
Male;7;6.4;68.3
Female;29;8.4;63.0
Male;12;10.5;65.0
Male;8;7.0;68.3
Male;14;6.4;69.0
Female;12;9.0;71.0
Female;10;7.1;65.0
Male;9;7.7;68.3
Female;6;6.4;63.0
Male;38;8.4;69.0
Female;17;7.7;73.5
Male;10;6.4;49.0
Female;26;8.0;80.0
Male;13;7.7;68.3
Female;14;7.7;72.2
Male;11;2.9;68.3
Male;15;7.0;76.0
Male;11;7.1;68.3
Female;40;7.7;72.2
Female;15;6.4;80.0
Male;9;9.0;63.0
Female;10;7.7;49.0
Male;16;6.4;71.0
Female;16;9.0;73.5
Male;13;9.0;80.0
Female;11;10.0;73.5
Female;48;7.1;65.0
Male;13;8.0;49.0
Female;8;7.1;65.0
Male;17;7.1;69.0
Male;8;9.0;69.0
Female;30;2.9;65.0
Male;14;8.4;73.5
Male;15;8.5;69.0
Male;11;6.4;73.5
Male;12;7.0;73.5
Female;11;6.4;76.0
Female;16;6.4;72.2
Male;14;10.0;65.0
Male;12;7.2;80.0
Female;15;7.1;69.0
Female;12;6.2;92.7
Male;13;10.0;80.0
Male;12;2.9;68.3
Male;16;6.4;92.7
Male;17;8.4;69.0
Male;11;10.5;72.2
Male;9;6.2;68.3
Female;7;10.0;71.0
Male;14;10.0;49.0
Male;16;7.0;69.0
Female;7;2.9;65.0
Female;9;7.2;72.2
Female;6;2.9;68.3
Male;6;2.9;63.0
Female;7;2.9;71.0
Female;11;7.7;65.0
Female;12;8.0;71.0
Female;6;7.1;92.7
Male;11;2.9;72.2
Male;18;2.9;69.0
Female;40;6.4;65.0
Male;15;7.1;63.0
Male;9;7.0;68.3
Female;13;7.7;73.5
Female;12;10.5;73.5
Female;13;7.7;72.2
Male;18;8.5;69.0
Female;13;10.5;68.3
Male;11;6.4;72.2
Male;11;10.0;68.3
Female;9;6.2;65.0
Female;10;8.4;65.0
Male;9;7.7;63.0
Male;17;8.0;63.0
Male;18;6.4;80.0
Male;11;6.4;69.0
Male;14;8.0;71.0
Male;11;8.4;68.3
Male;7;6.2;49.0
Female;10;8.5;65.0
Female;6;10.0;65.0
Female;14;7.7;92.7
Female;10;7.1;65.0
Male;14;10.5;68.3
Female;16;7.1;72.2
Male;12;9.0;69.0
Male;10;8.5;76.0
Male;16;10.0;73.5
Male;12;7.2;69.0
Female;48;7.1;80.0
Female;9;7.1;65.0
Female;11;8.5;80.0
Male;17;9.0;73.5
Female;39;6.2;72.2
Male;11;7.2;80.0
Male;31;10.0;72.2
Female;35;7.1;68.3
Male;8;6.4;68.3
Male;12;6.2;65.0
Female;10;10.0;65.0
Male;13;8.5;68.3
Female;19;8.4;80.0
Female;15;6.2;92.7
Male;8;6.4;63.0
Male;11;8.5;76.0
Female;11;8.5;65.0
Male;11;7.7;69.0
Female;38;7.7;69.0
Male;10;9.0;69.0
Female;10;7.2;80.0
Male;20;9.0;63.0
Female;6;8.5;65.0
Male;12;7.0;92.7
Female;34;7.1;71.0
Female;11;9.0;65.0
Female;40;9.0;92.7
Male;6;6.4;68.3
Male;11;8.5;72.2
Female;14;6.4;65.0
Male;9;6.4;69.0
Male;35;9.0;65.0
Female;24;8.4;65.0
Male;20;7.2;69.0
Male;13;7.7;65.0
Male;6;8.4;65.0
Male;16;9.0;68.3
Male;8;8.0;68.3
Male;17;9.0;71.0
Female;11;7.7;92.7
Male;12;7.1;69.0
Male;15;7.1;73.5
Male;12;9.0;71.0
Male;13;6.2;76.0
Female;20;10.0;65.0
Male;6;7.1;92.7
Female;12;7.1;72.2
Female;41;8.5;63.0
Female;16;6.2;65.0
Female;46;10.5;80.0
Male;15;9.0;71.0
Male;17;6.2;69.0
Male;18;9.0;69.0
Female;42;8.5;92.7
Female;11;6.2;65.0
Female;14;7.0;72.2
Female;26;9.0;65.0
Male;12;7.2;69.0
Female;7;8.4;73.5
Female;14;7.1;69.0
Male;14;2.9;76.0
Female;13;10.5;63.0
Female;6;7.7;69.0
Male;10;7.0;49.0
Male;15;7.1;72.2
Male;12;6.4;65.0
Male;15;10.0;69.0
Male;15;8.5;80.0
Female;14;7.0;69.0
Male;17;7.7;80.0
Male;17;9.0;69.0
Male;9;6.4;71.0
Male;15;7.0;49.0
Female;10;10.5;65.0
Male;15;7.1;71.0
Male;9;10.5;63.0
Female;43;7.0;72.2
Female;13;6.4;72.2
Female;15;9.0;80.0
Female;34;6.2;72.2
Male;14;9.0;49.0
Female;13;7.7;63.0
Male;19;7.0;69.0
Male;12;6.4;92.7
Male;6;6.2;63.0
Female;25;7.0;65.0
Male;17;8.0;65.0
Male;35;9.0;76.0
Female;16;7.1;63.0
Male;16;9.0;68.3
Male;7;9.0;68.3
Male;17;9.0;92.7
Male;14;10.0;49.0
Male;15;7.7;69.0
Male;9;2.9;73.5
Male;40;8.0;80.0
Male;9;9.0;69.0
Male;15;9.0;73.5
Female;18;8.4;65.0
Male;13;7.1;65.0
Female;11;8.5;65.0
Male;14;9.0;65.0
Male;8;9.0;71.0
Female;10;8.4;68.3
Male;8;10.5;65.0
Male;14;6.2;73.5
Male;14;2.9;63.0
Female;45;7.0;65.0
Male;15;6.4;76.0
Male;7;7.2;63.0
Male;12;6.2;69.0
Female;12;7.0;49.0
Male;9;9.0;65.0
Male;16;7.0;49.0
Female;13;7.1;65.0
Female;36;8.0;63.0
Female;16;6.2;49.0
Male;12;9.0;69.0
Female;6;6.4;69.0
Male;8;7.7;65.0
Female;8;7.7;80.0
Female;11;7.0;92.7
Male;13;8.5;63.0
Male;10;8.5;71.0
Male;17;7.1;80.0
Male;17;9.0;63.0
Male;19;7.7;69.0
Male;10;7.1;65.0
Male;18;9.0;65.0
Female;15;6.4;92.7
Female;7;7.2;63.0
Male;11;6.4;69.0
Female;45;7.1;72.2
Female;14;2.9;63.0
Female;13;7.2;92.7
Male;14;2.9;72.2
Female;13;7.1;69.0
Male;11;7.7;63.0
Female;10;7.1;65.0
Female;16;7.2;65.0
Female;14;9.0;65.0
Male;9;2.9;71.0
Male;14;7.1;65.0
Male;14;9.0;69.0
Female;10;6.4;71.0
Male;17;9.0;71.0
Male;13;8.4;69.0
Male;15;10.5;69.0
Male;15;6.2;80.0
Male;13;7.2;69.0
Male;12;9.0;68.3
Male;9;8.4;69.0
Male;10;6.4;65.0
Female;12;8.0;49.0
Female;13;7.2;92.7
Male;11;6.4;49.0
Male;10;7.7;72.2
Female;13;7.7;65.0
Male;17;7.0;65.0
Female;48;10.5;80.0
Male;13;8.4;63.0
Male;11;7.2;72.2
Female;19;9.0;69.0
Female;9;8.4;92.7
Male;7;8.5;49.0
Male;18;7.1;76.0
Female;17;9.0;65.0
Male;11;6.4;68.3
Male;11;7.2;63.0
Male;6;7.0;65.0
Male;12;6.4;69.0
Female;40;9.0;72.2
Female;10;7.2;72.2
Male;12;6.2;65.0
Female;14;8.4;92.7
Female;13;7.1;72.2
Male;10;6.2;68.3
Male;14;9.0;68.3
Male;10;9.0;63.0
Male;17;10.5;73.5
Male;15;6.4;76.0
